date,feature_index,NDVI
2024-09-19T00:00:00.000Z,0,-0.1487603336572647
2024-06-25T00:00:00.000Z,0,0.6872791647911072
2024-05-07T00:00:00.000Z,0,-0.037974681705236435
2024-06-23T00:00:00.000Z,0,0.4735642075538635
2024-08-25T00:00:00.000Z,0,0.16531604528427124
2024-08-12T00:00:00.000Z,0,0.6759884357452393
2024-05-19T00:00:00.000Z,0,0.20311783254146576
2024-07-26T00:00:00.000Z,0,-0.07883817702531815
2024-08-10T00:00:00.000Z,0,-0.09397590160369873
2024-05-14T00:00:00.000Z,0,0.6360260248184204
2024-06-26T00:00:00.000Z,0,-0.19290465116500854
2024-06-28T00:00:00.000Z,0,0.3478377014398575
2024-08-05T00:00:00.000Z,0,0.6341647207736969
2024-09-21T00:00:00.000Z,0,0.6652135848999023
2024-06-06T00:00:00.000Z,0,-0.0367346927523613
2024-08-07T00:00:00.000Z,0,0.4285714328289032
2024-08-17T00:00:00.000Z,0,0.6752683520317078
2024-08-19T00:00:00.000Z,0,0.6631393432617188
2024-07-28T00:00:00.000Z,0,0.7203907370567322
